ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
31790,04/13/2006,1,44,LOS ANGELES,CA,90056,1356,1,N,O,9,M,Y,,Y,,3,F,2,125000,Z,0,S,1997,,,,,A,42844,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-296.13
35500,12/30/1994,5,61,SUN PRAIRIE,WI,53590,1031,0,1,O,15,S,N,,,,1,M,1,25000,U,270,F,,B,R,1,,A,136101,N,,Y,1660.22,0,,Y,500.55,N,0,N,0,N,0,,0,,0,Y,0,NA,Y,NA,NA,Y,Y,-290.19
23374,05/07/1993,4,46,MILWAUKIE,OR,97222,4520,0,O,O,4,B,N,,,,1,F,1,18000,N,0,H,1935,,,,,A,7229,N,,Y,1945.91,0,1898.32,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,Y,Y,-253.73
46877,12/24/1996,2,53,REDDING,CA,96002,2939,0,P,R,1,S,N,,,,1,F,1,19999.92,S,0,,,,,,,,1760,N,,Y,828.77,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,NA,Y,-252.64
11784,05/17/2004,2,31,FRIDLEY,MN,55432,5622,0,O,O,10,M,N,,,,1,,2,62500,U,0,H,1956,,,,,A,2098,N,,Y,1207.54,0,,Y,800,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-249.67
42707,03/09/1981,10,89,WENTZVILLE,MO,63385,3555,0,O,O,2,M,N,,,,1,M,2,62500,S,0,H,2004,B,R,,,B,125108,Y,80000,Y,69.9,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-248.04
12899,10/15/2004,2,27,AMELIA,OH,45102,1114,0,O,O,0,M,N,,,,1,M,1,45000,S,30,E,1958,B,R,,,A,4356,N,,Y,3521.89,1,6680.63,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-245.29
32109,06/05/2006,1,,ELMIRA,NY,14901,1328,0,8,O,3,S,N,,,,2,M,3,25000,N,500,C,1910,B,R,2,,D,23932,N,,N,,1,8548.98,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-243.81
32476,08/15/2006,1,42,COTTONWOOD,CA,96022,8587,1,P,O,13,M,Y,,Y,,1,M,2,62500,S,0,J,1964,B,R,2,,A,4884,N,,N,,1,6065,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-238.13
6533,08/21/2000,4,45,LAS VEGAS,NV,89183,3529,0,2,O,5,S,N,,,,3,M,1,114999.96,N,0,Q,2001,B,R,,Y,A,90024,N,,Y,1837.61,1,1550,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-235.88
