ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
89,5/29/96,4,45,COLORADO SPGS,CO,80919,7910,1,O,O,8,A,Y,,Y,Y,3,M,2,57012.96,U,50,M,1984,B,R,1,,A,225407,N,,Y,85.79,0,0,Y,2454.59,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,Y,Y,Y,139.63
91,9/15/86,1,42,TUCSON,AZ,85706,9607,,P,,0,,,,,,0,,,,G,0,,,,,,,,2000000,N,,Y,3186.28,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,0.07
95,7/21/93,1,,AURORA,CO,80015,2135,,O,,0,,,,,,0,,,,O,0,L,1983,,,,,A,296494,N,,N,,0,,Y,39.48,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-6.52
99,10/1/78,1,66,EATON,CO,80615,8209,0,Z,O,13,M,N,,,,1,M,2,62500,S,220,J,2002,B,R,,,A,107698,N,,N,,1,249.52,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-3.31
106,10/23/91,1,76,FRIDLEY,MN,55432,4819,0,2,O,15,M,N,,,,1,M,2,35000,S,190,H,1961,,R,1,,A,13985,N,,N,,1,768.7,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-20
107,5/20/76,5,62,BELT,MT,59412,8419,0,P,O,0,B,N,,,,1,M,1,176006.04,S,0,A,1981,,,,,A,933,N,,Y,1656,0,3138.87,N,,N,0,N,0,Y,127527.25,,0,,0,N,,Y,Y,N,NA,Y,Y,5154.54
108,8/17/83,2,70,NISSWA,MN,56468,9448,0,,O,9,A,N,,,,1,M,2,49999.92,S,140,F,,B,R,1,,,,N,,Y,40103.96,1,732.37,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,416.4
111,12/1/49,1,82,LARGO,FL,33770,7414,0,1,O,1,M,N,,,,2,M,2,25000,S,0,B,1972,B,R,1,,B,145486,N,,N,,0,,Y,2052.53,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,66.92
113,3/11/96,1,72,COOLIDGE,AZ,85228,6228,0,O,O,5,B,N,,,,1,M,3,45000,S,380,,,,,2,,,121078,N,,Y,9.36,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,24.26
114,6/4/96,1,50,CLOQUET,MN,55720,0045,1,5,O,1,M,Y,,Y,,2,M,2,56256,S,210,,,B,R,3,,,0,N,,N,,0,,N,,N,0,Y,26570.01,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,365.76
117,7/20/87,2,25,WAHPETON,ND,58075,4425,1,P,O,15,M,Y,,Y,Y,1,F,2,14179.92,S,220,D,,B,R,3,,,6505,N,,Y,49.39,0,,N,,N,0,N,0,N,0,Y,4312.06,,0,N,,Y,Y,NA,NA,Y,Y,102.92
118,7/18/88,1,85,PRINCETON,MN,55371,6134,0,8,O,13,M,N,,,,1,M,2,62500,S,0,,,B,R,1,,,42172,N,,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,7.18
127,3/1/78,1,70,WINNEBAGO,MN,56098,0085,0,,O,11,B,N,,,,1,F,1,15000,S,110,,,B,R,1,,,68994,N,,N,,1,109.49,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-10.57
128,1/4/94,1,17,OMAHA,NE,68137,4227,,O,,0,,,,,,0,,,,N,0,,,,,,,,164739,N,,N,,0,,Y,70.43,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-6.59
135,11/1/77,7,55,SIOUX FALLS,SD,57109,7941,2,E,O,11,M,Y,,Y,,2,M,4,129999.84,N,590,F,,B,R,3,,,258506,N,,Y,2707.82,1,4854.48,Y,183.44,N,0,Y,27905.2,N,0,,0,,0,N,,Y,NA,NA,NA,Y,Y,1260.5
137,1/2/87,3,58,DULUTH,MN,55807,1534,1,1,O,15,M,Y,,Y,,1,M,2,62500,N,370,G,1939,B,R,3,,A,24811,N,,Y,4198.86,0,,Y,13376.73,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,231.22
138,10/14/77,5,58,ROBBINSDALE,MN,55422,2309,2,P,O,15,M,Y,,Y,Y,1,M,2,87500,S,110,J,1941,B,R,,,A,25264,N,,Y,5127.33,0,,Y,4641.48,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,148.05
150,8/15/78,1,,COLORADO SPGS,CO,80904,2408,,,,0,,,,,,0,,,,,0,,,,,,,,4340,N,,N,,1,10077.74,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,108.32
151,4/1/70,3,70,OWATONNA,MN,55060,1092,1,5,O,15,M,Y,,Y,,3,M,2,27396,S,270,,,B,R,1,,,58942,N,,Y,19047.51,0,,Y,7293.5,N,0,N,0,N,0,,0,,0,N,,N,NA,NA,NA,N,Y,335.96
156,5/1/61,5,84,WHITE BEAR LK,MN,55110,5520,0,1,O,15,M,N,,,,2,M,2,99999.84,G,140,I,1962,B,R,2,,A,209962,N,,Y,4470.45,1,258.4,Y,53203.34,N,0,Y,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,908.28
164,3/24/94,1,52,GRANDVILLE,MI,49418,2058,1,1,O,15,M,Y,,Y,Y,1,M,4,125000,N,260,H,,B,R,2,,E,228099,N,,N,,1,10528.46,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,247.83
170,3/22/96,6,42,MISSOULA,MT,59803,2625,1,1,O,3,M,Y,Y,,,3,M,3,125000,U,320,I,1991,B,R,1,,A,33514,N,,Y,483.72,0,,Y,1435.17,N,0,Y,46166.61,N,0,,0,Y,4608.54,N,,NA,NA,NA,NA,NA,NA,489.01
173,3/28/94,1,58,BIRMINGHAM,MI,48009,5751,0,2,O,7,S,N,,,,3,F,1,125000,N,0,P,1925,,,,,A,613381,N,,N,,1,588.1,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,786.1
